,item,label ,sentence,wikidata 
5169,Q122014,1.0,Rose received in 1964 his physics Diplom in theoretical electron optics under Otto Scherzer at the Technische Universität Darmstadt.,educated at Aquinas College
5171,Q6418620,1.0,"Life and career
Yuen studied at the Sacred Heart Canossian College and the Hong Kong Polytechnic University Design Department.",educated at Nara Women's University
5172,Q6538,1.0,In 1953 he moved to West Berlin and studied at the Berlin University of the Arts.,educated at American University
5173,Q2877735,1.0,"Zhou also acquired a doctorate from the University at Buffalo, The State University of New York (PhD, '84, M.S.",educated at Panthéon-Assas University
5176,Q4665485,1.0,He graduated from the University of Malaya with a Bachelor's Degree in Economics and later obtained an MBA from the University of Queensland.,educated at ETH Zurich
5180,Q2531083,1.0,"Biography
Swanson grew up in Waterman, Illinois and attended Illinois Wesleyan University for a brief time before transferring to the University of Iowa.",educated at Magdalen College
5182,Q710724,1.0,"He earned a degree in Computer Science & Engineering in Shanghai Jiao Tong University, which due to his background in computers he found ""quite easy"", but describes himself as spending much of his time there teaching himself digital art and animation, and later did a minor in digital art and design at Donghua University.",educated at Hubei University
5184,Q710724,1.0,Chen went to the United States to earn a master's degree in the School of Cinematic Arts at the University of Southern California.,educated at École des Beaux-Arts
5185,Q449689,1.0,"He completed a Juris Doctor at the George Washington University Law School in 1967 and then worked at the Washington, DC law firm of Wheeler & Wheeler from 1967 to 1972.",educated at University of Nebraska–Lincoln
5186,Q449689,1.0,"Public service during the Nixon-Ford period

In 1972 Snow left Wheeler & Wheeler and took up a position as Assistant Professor of Law at the George Washington University Law School.",educated at Tarbiat Modares University
5188,Q579911,1.0,"Education
Stephen Mosley was educated at King Edward's School in Birmingham before reading Chemistry at the University of Nottingham.",educated at Santa Monica College
5190,Q333911,1.0,"After graduating from St. Peter's Preparatory School in Jersey City, New Jersey, in 1903, Durant enrolled at Saint Peter's College (now University) also in Jersey City.",educated at University of Mississippi
5192,Q63263,1.0,He studied law at Panthéon-Assas University and later graduated from ESCP Europe business school.,educated at Royal Military Academy Sandhurst
5194,Q366456,1.0,"After receiving a doctorate (doctorat d'état) in sociology from the Institut d'Études Politiques de Paris (commonly known as Sciences Po), Dion worked briefly as a teaching assistant at the Université de Moncton in 1984 before moving on to the Université de Montréal to assume an assistant professor position.",educated at Australian Institute of Sport
5196,Q9346715,1.0,"In 2008, she enrolled as a part-time learner in Ming Chuan University.",educated at University of Miami
5198,Q357998,1.0,"He graduated from Madison West High School in 1992, and subsequently attended Colorado College, and the University of Wisconsin–Madison, from which he graduated with an English degree.",educated at Sophia University
5201,Q8014210,1.0,"Biography
Background and education
William Shelton graduated from the United States Air Force Academy in Colorado Springs, Colorado in 1976 with a Bachelor of Science in Astronautical Engineering.",educated at Hochschule für Musik und Theater Hamburg
5203,Q80966,1.0,She studied economics and fine arts at the University of Melbourne but dropped out after one year to travel overseas.,educated at University of Michigan
5204,Q63880,1.0,He was Chancellor of University of Göttingen and a correspondent of Linnaeus.,educated at Kyoto University
5207,Q371910,1.0,He started his studies when he entered the Lycée Lakanal through the use of a scholarship.,educated at University of Tasmania
5208,Q518779,1.0,He then received V-12 officer training at Bates College and served with the United States Navy from 1943 to 1946 as a submariner.,educated at Trinity College
5212,Q92759,1.0,"After spending the summer of 1966 in California, he then attended the University of Chicago for one term, where he first encountered computer design.",educated at Corpus Christi College
5214,Q2736277,1.0,"He is generally credited with coining the term ""unidentified flying object"", to replace the terms ""flying saucer"" and ""flying disk"" - which had become widely known - because the military thought them to be ""misleading when applied to objects of every conceivable shape and performance.",educated at Pennsylvania Academy of the Fine Arts
5342,Q17012336,1.0,"While at Otterbein University, he was cast in such plays as The Scene, The Caucasian Chalk Circle, Who's Afraid of Virginia Woolf?, and Tartuffe.",educated at University of Utah
5344,Q319741,1.0,"He studied music at the Athens Conservatoire as well as in Brussels and Berlin, with Ferruccio Busoni among his teachers.",educated at University of National and World Economy
5345,Q11147010,1.0,"214-217' He became a Christian while a student at the Anglo-Chinese College in Fuzhou, then went to  Ohio Wesleyan University, Delaware, Ohio, Columbia University, and Union Theological Seminary.",educated at Thomas Jefferson High School for Science and Technology
5346,Q11147010,1.0,"The Fuzhou Methodist Bishop James Bashford recommended Hung enroll at the Ohio Wesleyan University, where he obtained a Bachelor of Arts degree in 1917.",educated at Columbia Law School
5349,Q517826,1.0,"CBE, FRSL (born 25 December 1940), is a British writer, known for her work as a journalist and biographer.",educated at Magdalen College
5350,Q517826,1.0,"Spurling was educated at Clifton High School, an independent school in Bristol in South West England, followed by Somerville College, Oxford.Biography of Hilary Spurling from The Guardian.",educated at Bolles School
5351,Q517826,1.0,"Career
She won the Whitbread Prize for the second volume of her biography of Henri Matisse in January 2006.",educated at Harvey Mudd College
5353,Q27151308,1.0,"Early Baseball career
Tanaka was selected as the Japan national baseball team for 2014 Haarlem Baseball Week and Baseball at the 2015 Summer Universiade while attending Sōka University.",educated at St. Paul's College
5354,Q262738,1.0,She earned a master's degree from Syracuse University.,educated at St. Aubyns School
5358,Q1334208,1.0,He returned to Scotland to attend Heriot-Watt University in Edinburgh where he graduated in 1979 with a Bachelor of Arts in modern languages.,educated at Principia College
5360,Q6862529,1.0,"In 1951, Min obtained his doctor's degree from Ohio State University in the United States.",educated at Northwest University
5362,Q115706,1.0,"Biography
Leboeuf was born at Paris, passed through the École polytechnique and the school of Metz, and distinguished himself as an artillery officer in Algerian warfare, becoming colonel in 1852.",educated at Free University of Brussels
5363,Q3898105,1.0,"He attended Virginia Polytechnic Institute and State University in Blacksburg, Virginia and Wake Forest University in Winston-Salem, North Carolina.",educated at University of North Dakota
5364,Q6864668,1.0,"Tsai later attended Phillips Academy in Andover, Massachusetts, and then proceeded to study engineering and play varsity squash at Yale University.",educated at Harvard College
5366,Q698464,1.0,"In 1976, Hsu got his Master of Economics degree from the Chinese Culture University and started teaching banking the next year at the same school.</ref>

In 1982, Hsu went to the United States as a Columbia University exchange scholar.",educated at Royal Military College of Canada
5368,Q63456694,1.0,"Education 
Zhang studied at Shandong University from 2000 to 2004 and graduated with a bachelor's degree in archeology.",educated at American University
5370,Q192112,1.0,"In 1946, at the age of 17, Higgs moved to City of London School, where he specialised in mathematics, then in 1947 to King's College London where he graduated with a first class honours degree in Physics in 1950 and achieved a master's degree in 1952.",educated at Queensland University of Technology
5371,Q192112,1.0,He was awarded a PhD degree in 1954 with a thesis entitled Some problems in the theory of molecular vibrations from King's College London.,educated at University of Arizona
5375,Q718234,1.0,"He then enlisted in the Ghana Army in 1957 and trained at the Royal Military Academy, Sandhurst, UK among others, receiving his commission in 1960.","educated at University of California, Davis"
5377,Q8277790,1.0,"Career
The daughter of Hsiao Teng-wang, a former speaker of Chiayi City Council, Hsiao Uan-u attended college in the United States, at California State University, Northridge and the University of San Francisco.",educated at National University of Singapore
5379,Q5534792,1.0,"Biography
His family home was in Catford, SE 6,Keble Association (1965) Keble College Address List; p. 88 and he attended St Dunstan's College, Catford, and then Keble College, Oxford.",educated at University of Miami
5380,Q5534792,1.0,Geoffrey Nice has been involved with the International Criminal Tribunal for the Former Yugoslavia (ICTY).,educated at University of Rostock
5381,Q5534792,1.0,"Since working with the ICTY, Nice has been active in the International Criminal Court (ICC) and in pro bono work for victims groups.",educated at Yerevan State University
5383,Q313025,1.0,"He attended Jai Hind College, University of Mumbai, and then got an MBA from Mumbai Educational Trust.John Abraham Biography.",educated at Smith College
5384,Q381158,1.0,"Lochhead went to the United States in 2001 to study at the University of California, Santa Barbara.",educated at University of Cincinnati
5386,Q1185942,1.0,"After graduating from Fukuoka University, he joined Japan Football League club Fujita Industries (later Bellmare Hiratsuka, Shonan Bellmare) in 1993.",educated at Royal Academy of Arts
5388,Q58662,1.0,"From 1516 to 1519 he studied at the University of Leipzig; during this time, he Latinized his name to Apianus (lat.",educated at University of Utah
5389,Q312327,1.0,"After graduating from Kanagawa University with a degree in English, Uematsu played the keyboard in several amateur bands and composed music for television commercials.",educated at Stephens College
5391,Q7640761,1.0,"He pursued his post-secondary education at New York University, Stern school of business and Tisch school of arts, majoring in business and minoring in film studies.",educated at Osaka University of Health and Sport Sciences
5393,Q1532902,1.0,"Prince Hamzah received his elementary education in Jordan and Amman, and then attended Harrow School in England.",educated at University of Colorado Boulder
5395,Q266064,1.0,He served as Minister of State for Universities and Science from 2010 until July 2014 and became a member of the House of Lords in 2015.,educated at University of Winnipeg
5396,Q266064,1.0,"Education
thumb|right
Willetts was educated at King Edward's School, Birmingham, and Christ Church, Oxford, where he studied Philosophy, Politics and Economics.",educated at Keble College
5397,Q266064,1.0,"Aged 31, he subsequently took over the Centre for Policy Studies.",educated at Tufts University
5398,Q266064,1.0,"Paul Foot wrote in the Private Eye that in a 1993 document called The Opportunities for Private Funding in the NHS, published by the Social Market Foundation and financed by private healthcare company BUPA, Willetts provided the ""intellectual thrust"" for private finance initiatives (PFIs) in the National Health Service.",educated at State University of Management
5399,Q266064,1.0,"First period in government
thumb|right|Willetts' constituency office
Aged 36, Willetts entered Parliament in 1992 as the MP for Havant.",educated at University of Texas Southwestern Medical Center
5400,Q266064,1.0,"After the 2005 election, he served as Shadow Secretary of State for Trade and Industry in the Shadow Cabinet under Michael Howard.",educated at Texas A&M University
5401,Q266064,1.0,"In August 2005, after ruling out running for leader owing to a lack of support, commentators speculated that he was gunning for the post Shadow Chancellor of the Exchequer position and would cut a deal with either David Davis or David Cameron.",educated at University of Utah
5402,Q266064,1.0,"On 15 September he confirmed his support for Davis, at that time the bookies' favourite.",educated at Nanjing Sport Institute
5403,Q266064,1.0,"Following Cameron's win, Willetts was appointed Shadow Secretary of State for Education and Skills in Cameron's first Shadow Cabinet in December 2005, the role Cameron had vacated, and later becoming Shadow Secretary of State for Innovation, Universities and Skills.",educated at University of Utah
5404,Q266064,1.0,"His title became Shadow Minister for Universities and Skills since Gordon Brown's merger of the Department for Innovation, Universities and Skills with the Department for Business, Enterprise and Regulatory Reform into the Department for Business, Innovation and Skills in June 2009.",educated at University of Miami
5405,Q266064,1.0,"The Department for Education and Skills was abolished by the new Prime Minister, Gordon Brown, who established two new departments.",educated at Naval Postgraduate School
5406,Q266064,1.0,"On 2 July 2007, Cameron reshuffled Willetts down to the junior of the two departments: the Department for Innovation, Universities and Skills.",educated at ETH Zurich
5407,Q266064,1.0,"Second period in government
Following the 2010 general election, Prime Minister David Cameron appointed Willetts as the Minister of State for Universities and Science.",educated at Brigham Young University
5408,Q266064,1.0,"Feminism claim
In June 2011, Willetts said during the launch of the Government's social mobility strategy that movement between the classes had ""stagnated"" over the past 40 years, and Willetts attributed this partly to the entry of women into the workplace and universities for the lack of progress for men.",educated at Trinity College
5409,Q266064,1.0,"He went on to say that ""One of the things that happened over that period was that the entirely admirable transformation of opportunities for women meant that with a lot of the expansion of education in the 1960s, 70s and 80s, the first beneficiaries were the daughters of middle-class families who had previously been excluded from educational opportunities"", he said.",educated at New Orleans Baptist Theological Seminary
5410,Q266064,1.0,"He said that ""And if you put that with what is called 'assortative mating' — that well-educated women marry well-educated men – this transformation of opportunities for women ended up magnifying social divides.",educated at State University of New York at Albany
5411,Q266064,1.0,"It is delicate territory because it is not a bad thing that women had these opportunities, but it widened the gap in household incomes because you suddenly had two-earner couples, both of whom were well-educated, compared with often workless households where nobody was educated"".feminism has held back working men

Tuition fees and student loan debts
As the minister responsible for universities, Willetts was an advocate and spokesperson for the coalition government's policy of increasing the cap on tuition fees in England and Wales from £3,225 to £9,000 per year.",educated at University of Sarajevo
5412,Q266064,1.0,"In November 2013, Willetts announced the sale of student loans to Erudio Student Loans - a debt collection consortium - removing £160m from public debt but ignoring the implications for former students.Government sells £900 million in student loans to debt collection company by Simon Read, independent.co.uk, 26 November 2013.",educated at Trinity College
5413,Q266064,1.0,"Brexit
Willetts is one of the signatories of a statement by senior Conservatives calling for a second referendum over Brexit.",educated at University of Latvia
5414,Q266064,1.0,"If we do not hear their voices, who could blame them for feeling excluded and powerless on this most vital issue.",educated at Somerville College
5415,Q266064,1.0,"The truth is that if Brexit fails this generation, we risk losing young people for good.",educated at Aberystwyth University
5416,Q266064,1.0,"TheyWorkForYou additionally records that, amongst other things, Willetts was strongly in favour of the Iraq War, strongly in favour of an investigation into it, moderately against equal gay rights, and very strongly for replacing Trident.",educated at Arizona State University
5417,Q266064,1.0,"He is currently a visiting professor at King's College London where he works with the Policy Institute at King's, a visiting professor at the Cass Business School, a board member of the Institute for Fiscal Studies and a visiting fellow at Nuffield College, Oxford.",educated at Xiamen University
5418,Q266064,1.0,"His wealth is estimated at £1.9m, and his declarations for the Register of Members' Financial Interests may viewed here.",educated at American University
5419,Q266064,1.0,"Honours
 He was sworn in as a member of the Privy Council of the United Kingdom in 2010, giving him the honorific title ""The Right Honourable"" and after ennoblement the post nominal letters ""PC"" for life.",educated at Government College University
5420,Q266064,1.0,"Scholastic
 University Degrees

 Location  Date  School  Degree     Christ Church, Oxford  First-class honours Bachelor of Arts (BA) in PPE 

 Chancellor, visitor, governor, and fellowships

 Location  Date  School  Position   21 October 2014  King's College London  Visiting Professor       July 2018  University of Leicester  Chancellor        Nuffield College, Oxford  Honorary Fellow    

Honorary Degrees

 Location  Date  School  Degree   21 November 2014  University of Bedfordshire  Doctor of Arts (D.Arts)     17 July 2016  University of Leicester  Doctor of Laws (LL.D.)",educated at City University of Hong Kong
5422,Q432890,1.0,"in economics at the University of Warwick in 1972, and his Ph.D. in economics at Princeton University in 1974.",educated at Magdalen College
5424,Q432890,1.0,"in economics at the University of Warwick in 1972, and his Ph.D. in economics at Princeton University in 1974.",educated at Rhode Island School of Design
5426,Q3379071,1.0,"He was educated at Barker College in the Sydney suburb of Hornsby before entering University of Sydney, after which he practised as a solicitor.",educated at Illinois State University
5429,Q8264385,1.0,"She gained a master's degree in Germanic philology from the University of Lisbon in 1971, following it with a diploma in pedagogic sciences from the same institution.",educated at University of Michigan
5432,Q106275,1.0,"She studied acting at the Conservatoire National Supérieur d'Art Dramatique (CNSAD), but quit after a short time as she disliked the curriculum.",educated at University of Utah
5433,Q31630749,1.0,He went on to earn an MBA from the University of Notre Dame.,educated at University of Utah
5435,Q24045706,1.0,"While in MR, he competed in Gettu Betur, an Icelandic team quiz show for junior college students.",educated at College of the Holy Cross
5436,Q24045706,1.0,"In 1999, he completed an MSt degree in history from St Antony's College, at the University of Oxford.",educated at St Anne's College
5437,Q24045706,1.0,Guðni decided to stand for president on 5 May 2016.,educated at American University of Beirut
5438,Q24045706,1.0,"Following his television appearances, there were calls for Guðni to run for the presidency himself.",educated at University of Ljubljana
5439,Q24045706,1.0,His platform included support for a citizen initiative referendum provision in the Constitution.,educated at University of Arizona
5440,Q24045706,1.0,Guðni has emphasized the importance of unity for the small Nordic nation.,educated at Communication University of China
5441,Q24045706,1.0,"Roughly one month into his term, Guðni had approval ratings of 68,6% in an MMR survey, the highest approval rating that this pollster has measured for the Icelandic president since its establishment in 2011.",educated at University of Utah
5442,Q24045706,1.0,Such high approval ratings for Icelandic politicians are without precedent.,educated at University of Medicine 2
5444,Q27842981,1.0,"After his parents' divorce, he moved to California and studied at Mater Dei High School in Santa Ana, while spending summers back in Wisconsin.",educated at École Centrale Paris
5445,Q466192,1.0,"Lennox then transferred to Louisiana Tech University, and graduated from there in 2000 with a BA in Psychology.",educated at University of Arizona
5446,Q466192,1.0,She was named the 2000 Sun Belt Conference Player of the Year and a U.S. Basketball Writers Association First Team All-American while at Louisiana Tech University.,educated at American University
5447,Q62017373,1.0,"He continued his studies in the United States, earning another MA from the University of Rochester in 1973 and his Ph.D. in economics from Texas A&M University in 1976.",educated at Tepper School of Business
5449,Q498775,1.0,He received a Bachelor of Science degree in Aeronautical Engineering from California Polytechnic State University in 1969.,educated at Trinity College
5451,Q662787,1.0,He graduated with an MA from the University of Glasgow in 1745.,educated at Texas A&M University
5452,Q662787,1.0,"From 1755-57 he was Professor of Oriental Languages in the University of Glasgow, and from 1757 to 1796 Professor of Natural Philosophy.",educated at DuSable High School
5453,Q662787,1.0,"A leading scientist
In 1760, Anderson was appointed to the more congenial post of professor of natural philosophy at the University of Glasgow.",educated at Lund University
5454,Q662787,1.0,"Founder of a university
Building on the lectures for artisans, he bequeathed his property for the foundation of a school in Glasgow devoted to ""useful learning"", called Anderson's Institution or Andersonian University.",educated at The Bronx High School of Science
5455,Q662787,1.0,On 13 January 1996 representatives from the University of Glasgow laid a wreath to mark the bicentennial of Anderson's death.,educated at Illinois State University
5457,Q376165,1.0,"p. 143 He graduated with a Bachelor of Science degree in electrical engineering from the Massachusetts Institute of Technology in 1961, where he was an active member of Sigma Alpha Epsilon (SAE).",educated at Lviv Polytechnic
5458,Q376165,1.0,"He was a Sloan Scholar at the Massachusetts Institute of Technology, winner of the Carleton E. Tucker Award for Teaching Excellence at MIT, and recipient of the NASA Exceptional Service Medal (1974) and NASA Space Flight Medal (1982).",educated at Kent State University
5525,Q154490,1.0,"He was educated at the technical school in Vaugirard, and in 1964 graduated from the prestigious film school Institut des Hautes Études Cinématographiques (IDHEC) in Paris.",educated at University of Oklahoma
5526,Q228645,1.0,"The following year, her mother took Ashley back to Naomi's native Kentucky, where Judd spent the majority of her childhood.Actress of the Week AskMen.com (2006)

Judd attended 13 schools before college, including the Sayre School (Lexington, Kentucky), Paul G. Blazer High School (Ashland, Kentucky) and Franklin High School in Tennessee.",educated at Magdalen College
5528,Q4870843,1.0,"Born in Shiness, Lairg, Sutherland, Scotland, he was the son of Captain Donald Matheson.Mackenzie, Alexander History of the Mathesons with Genealogies of the Various Families (1900) He attended Edinburgh's Royal High School and the University of Edinburgh.",educated at University of Delaware
5531,Q6236506,1.0,"He received his Bachelor of Science in computer science from Drexel University, then worked for Bare Bones Software (2000–02) and Joyent (2005–06).",educated at Young Harris College
5533,Q565374,1.0,He left Missouri for Albuquerque to take graduate courses at the University of New Mexico.,educated at University of Auckland
5535,Q11702,1.0,"Boehner attended Cincinnati's Moeller High School and was a linebacker on the school's football team, where he was coached by future Notre Dame coach Gerry Faust.",educated at Nanyang Technological University
5536,Q346648,1.0,"He was a moderate conservative with a strong intellectual reputation, but became a weak prime minister at the start of the worldwide Great Depression.Binion, 1960, pp 197-340

Biography
Tardieu was a graduate of the elite Lycée Condorcet.",educated at University of Utah
5539,Q1059597,1.0,"His educational career took him to Michigan State University, where he pursued a major in English, but he was expelled due to his involvement in a radical student magazine.",educated at University of Arizona
5541,Q2572912,1.0,"He lived in Normanby until he was 18, before going to Loughborough University and beginning his rise through the ranks in motorsport.",educated at University of Miami
5542,Q2572912,1.0,In July 2015 he was also awarded an honorary Doctor of Technology from Loughborough University in recognition of his outstanding contribution to Formula 1 and race engineering.,educated at Conservatoire de Paris
5544,Q193458,1.0,"Her mother, Josephine, is a South African-born English former model, who was a personal assistant to David Bowie and one-time manager of the Lee Strasberg Theatre and Film Institute in NYC.",educated at Eastern Mennonite University
5545,Q193458,1.0,"According to Celebrity Biographies – The Amazing Life Of Sienna Miller, she developed a ""mischievous and rebellious side"" when she became a teenager, often being ""chastised"" for smoking, drinking and flirting.https://books.google.com.au/books?id=E3WQCwAAQBAJ&pg=PP12&dq=Celebrity+Biographies+-+The+Amazing+Life+Of+Sienna+Miller&hl=en&sa=X&ved=0ahUKEwilgLLfu5fpAhUBdCsKHXa-DgoQ6AEIKDAA#v=onepage&q=Celebrity%20Biographies%20-%20The%20Amazing%20Life%20Of%20Sienna%20Miller&f=false After graduating at 18, Miller obtained a modelling gig for a German commercial for soda pop, and with the money she earned from it, she relocated in NYC and enrolled in a three-month course at the Lee Strasberg Theatre and Film Institute.",educated at University of Münster
5547,Q180223,1.0,He earned degrees from Harvard College and Yale Law School.,educated at Teachers College
5549,Q217070,1.0,Fabius's secondary education was at the Lycée Janson-de-Sailly and Lycée Louis-le-Grand.,educated at Shanxi University
5551,Q217070,1.0,Fabius's secondary education was at the Lycée Janson-de-Sailly and Lycée Louis-le-Grand.,educated at Collège de France
5553,Q41488,1.0,"In 1954, he attended Government College in Ibadan, and subsequently University College Ibadan and the University of Leeds in England.",educated at Massachusetts Institute of Technology
5554,Q41488,1.0,"Later in 1954, Soyinka relocated to England, where he continued his studies in English literature, under the supervision of his mentor Wilson Knight at the University of Leeds (1954–57).",educated at North Carolina State University
5555,Q41488,1.0,"In 1972, he was awarded an Honoris Causa doctorate by the University of Leeds.",educated at University of Utah
5556,Q41488,1.0,"His first marriage was in 1958 to the late British writer, Barbara Dixon, whom he met at the University of Leeds in the 1950s.",educated at Robert College
5557,Q41488,1.0,"1973: Honorary D.Litt., University of LeedsHonorary Degree, Leeds African Studies Bulletin 19 (November 1973), pp.",educated at Royal Conservatoire of Scotland
5558,Q41488,1.0,"PhD thesis, University of Leeds.",educated at University of Tsukuba
5560,Q447776,1.0,"In Paris he earned a PhD in Semiology and the History of Culture, at Ecole des Hautes Etudes en Sciences Sociales (School for Advanced Studies in the Social Sciences)- EHESS, one of the French Grande Écoles.",educated at Istanbul University
5562,Q152274,1.0,"After studying philosophy at Charles-Ferdinand University in Prague, Beneš left for Paris and continued his studies at the Sorbonne and at the Independent School of Political and Social Studies.",educated at Northwestern University
5563,Q152274,1.0,"Beneš then taught for three years at a business college, and after his 1912 habilitation in philosophy, Beneš became a lecturer of sociology at Charles University.",educated at Georgetown Preparatory School
5566,Q6593045,1.0,Seeman studied biochemistry at the University of Chicago and crystallography at the University of Pittsburgh.,educated at Webber Douglas Academy of Dramatic Art
5568,Q9214144,1.0,"In 1977 he took part in rural labour in Pinggu County, Beijing, then went on to attend school at Beijing Economics College (later Capital University of Economics and Business), where he majored in accounting.",educated at Wuhan University of Technology
5570,Q8279770,1.0,"Early life
Hsu obtained his bachelor's degree in tourism management from Chinese Culture University, master's degree in public administration from Dominican University in the United States and doctoral degree in technology management from Chung Hua University.",educated at Marymount Manhattan College
5572,Q364062,1.0,"Education
From 1908 to 1912, Brillouin studied physics at the École Normale Supérieure, in Paris.",educated at University of Miami
5573,Q364062,1.0,"Honors
1953 – Elected to the US National Academy of Sciences

Books

 Les mesures en haute fréquence, with H. Armagnat (Chiron, 1924)
 Les Statistiques Quantiques Et Leurs Applications.",educated at St Antony's College
5575,Q364062,1.0,"2) (Academic Press, 1964)
 Relativity Reexamined (Academic Press, 1970)
 Tres Vidas Ejemplares en la Física (Madrid, Marzo, 1970)

See also
 Brillouin scattering
 Brillouin zone
 Brillouin function
 Einstein–Brillouin–Keller method
 WKB approximation
 Negentropy

References

Further reading

Mehra, Jagdish, and Helmut Rechenberg, The Historical Development of Quantum Theory.",educated at Shanghai Theatre Academy
5577,Q364062,1.0,"From 1911 he studied under Jean Perrin until he left for the Ludwig Maximilian University of Munich (LMU), in 1912.",educated at St. Stephen's College
5579,Q629131,1.0,"He attended Hamilton College, in Clinton, New York, where his maternal uncle, Seth Norton, was a professor.",educated at Harvard University
5581,Q352918,1.0,"In Spain, he enrolled in the Infantry Academy of Toledo in 1907.",educated at The High School of Music & Art
5582,Q6604676,1.0,"Chronology
1967-1970: (undergraduate student) Mathematics and Physics, Tel Aviv University
1970-1972: Military Service and MSc studies Space Sciences, Tel Aviv University under the guidance of A. Eviatar.",educated at Christ Church
5584,Q3380977,1.0,"He graduated from the department of hydraulics at Tianjin University in 1967, then joined the Communist Party in 1969.",educated at Uppsala University
5586,Q11609444,1.0,"Career
Mima attended Fujishiro High School and Chuo University.",educated at Conservatoire national supérieur d'art dramatique
5588,Q8350592,1.0,"Education
Wei received his bachelor's degree in business from National Taichung University of Science and Technology and master's degree in business management from Dayeh University.",educated at Lingnan University
5589,Q436010,1.0,"Darby was educated at Westminster School and Trinity College, Dublin where he graduated Classical Gold Medallist in 1819.",educated at Université de Montréal
5592,Q1086964,1.0,"He grew up in Darien, attended the Christian Science Principia College in Elsah, Illinois, and received both a Master of Business Administration and a Master of Public Administration from New York University.",educated at Columbus College of Art and Design
5596,Q169577,1.0,"A graduate of the University of South Dakota and University of Minnesota, Lawrence obtained a PhD in physics at Yale in 1925.",educated at Royal Military College of Canada
5597,Q169577,1.0,"Lawrence attended the public schools of Canton and Pierre, then enrolled at St. Olaf College in Northfield, Minnesota, but transferred after a year to the University of South Dakota in Vermillion.",educated at University of Electro-Communications
5598,Q169577,1.0,degree in physics from the University of Minnesota in 1923 under the supervision of William Francis Gray Swann.,educated at National Chiao Tung University
5600,Q374210,1.0,"Thomas Fowle, a former fellow of St John's College, Cambridge, was paid £10 annually as de Vere's tutor..

His father died on 3 August 1562, shortly after making his will.",educated at Hiroshima University
5602,Q374210,1.0,"At eight he entered Queens' College, Cambridge, as an impubes, or immature fellow-commoner, later transferring to St John's.",educated at Momoyama Gakuin University
5604,Q6834991,1.0,"thumb|Michael Turner on his appointment as general manager of HSBC in 1953

Sir Michael William Turner (1905 - 27 September 1980) was a banker for Hong Kong and Shanghai Bank and commandant of the auxiliary police in Hong Kong.",educated at Corpus Christi College
5605,Q6834991,1.0,"He was the son of Skinner Turner, at that time Judge of the British Court for Siam in Bangkok and later Chief Judge of the British Supreme Court for China based in Shanghai.Biographical details from Turner's 1980 Who's Who Entry

 Education 
Turner studied at Marlborough College and then University College, Oxford and obtained a degree in military history.",educated at Trinity College
5606,Q6834991,1.0,He played field hockey with the English national field hockey team.Profile for Sir Michael at Waddington's Auctions.,educated at University of South Australia
5607,Q6834991,1.0,Turner was later transferred to Singapore where he was interned in Changi Prison for the duration of World War II.,educated at Magdalen College
5608,Q6834991,1.0,It took him six months for him to recover from the conditions in the camp.,educated at Indiana Wesleyan University
5609,Q6834991,1.0,"1981 Who's Who Obituary

Awards and recognition

Turner was awarded a Colonial Police Medal in 1956 for his services to the Hong Kong Auxiliary Police Force.",educated at University of the Andes
5610,Q1930242,1.0,"Biography 
He graduated from the Law Faculty of the University of Warsaw in 1893.",educated at Appalachian State University
5612,Q11658327,1.0,"While still a member of the gang, he went on to receive a bachelor's degree in engineering from Tam Kiang College (now Tamkang University), and served in the army as a lieutenant.",educated at Christ Church
5614,Q19799482,1.0,"She studied jazz at the Berklee College of Music, but had to drop out due to financial difficulties burdening her family.",educated at University of Glasgow
5617,Q84385383,1.0," 
Feng Xiating (; born September 1964) is a Chinese petrologist who is a professor and vice-president of Northeastern University (China), and currently president of Chinese Society for Rock Mechanics & Engineering (CSRME).",educated at Fukuoka University
5618,Q84385383,1.0,"He received his bachelor's degree and doctor's degree from Northeastern University (China) in 1986 and 1992, respectively.",educated at Lee Strasberg Theatre and Film Institute
5619,Q84385383,1.0,In August 2017 he was recalled to the Northeastern University and appointed vice-president.,educated at University of Miami
5621,Q369638,1.0,"His undergraduate studies were at the University of Auckland, from where he obtained a BSc in 1972 and an MSc in 1973.",educated at University of Miami
5622,Q369638,1.0,"Jones has since 2011 been at Vanderbilt University as Stevenson Distinguished Professor of mathematics.Personal web page at Vanderbilt University He remains Professor Emeritus at University of California, Berkeley where he has been on the faculty since 1985Personal web page at Berkeley and is a Distinguished Alumni Professor at the University of Auckland.Personal web page at Auckland

He was made an honorary vice-president for life of the International Guild of Knot Tyers in 1992.",educated at University of Arizona
5623,Q369638,1.0,"1991awarded the degree of Doctor of Science by the University of Auckland
 1992elected to the Australian Academy of Science as a Corresponding Fellow.",educated at Eastern Mennonite University
5624,Q369638,1.0,"Publications 
 
 
 
 
 
 
 

 See also 
 Jones polynomial
 Aharonov–Jones–Landau algorithm
 Planar algebra
 Subfactor

References

 External links 

 
 
 Jones' home page
 Career profile page at the University of Auckland
 Joan S. Birman: The Work of Vaughan F. R. Jones in Ichirō Satake (ed.",educated at Ghent University
5626,Q373385,1.0,"but received a GED and was court-ordered to take courses at American River College,Mills, Elinor.",educated at University of Valladolid
5627,Q373385,1.0,"""In terms of higher education, I was court-ordered to attend school after I was arrested and I studied journalism at American River College in Carmichael, Calif."" a community college in Sacramento County, California.",educated at University of Miami
